TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
GSW/CHI,Jordan Bell,,5,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.1,0.8,0.6,1.4,0.6,0.6,0.4,1.6,0.8,2.4,7.0
OKC,Paul Watson,F,11,12.0,40.0,0.3,6.0,30.0,0.2,1.0,2.0,0.5,0.38,0.27,2.45,2.73,0.91,0.36,0.27,0.36,1.18,2.82,-51.0
MIL/SAC/DET,Justin Robinson,,30,40.0,122.0,0.3279,23.0,75.0,0.3067,6.0,10.0,0.6,0.42,0.17,0.83,1.0,1.37,0.37,0.03,0.7,1.07,3.63,-143.0
PHX,Paris Bass,,2,2.0,6.0,0.3333,0.0,2.0,0.0,2.0,2.0,1.0,0.33,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0,2.0
MIA/DET,Micah Potter,,6,17.0,38.0,0.4474,3.0,9.0,0.3333,6.0,6.0,1.0,0.49,2.17,5.0,7.17,0.5,0.33,0.33,0.83,1.5,7.17,-46.0
WAS,Craig Sword,,3,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,,0.75,0.0,0.0,0.0,0.33,1.33,0.0,0.33,2.33,2.0,1.0
CLE/IND,Justin Anderson,,6,6.0,19.0,0.3158,3.0,15.0,0.2,6.0,7.0,0.8571,0.39,0.33,1.33,1.67,1.5,0.33,0.17,0.5,1.5,3.5,43.0
IND,Ahmad Caver,,1,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
IND,Nate Hinton,,5,1.0,5.0,0.2,1.0,3.0,0.3333,0.0,1.0,0.0,0.3,0.0,1.2,1.2,0.2,0.2,0.0,0.8,0.4,0.6,5.0
DEN,Rayjon Tucker,,3,1.0,2.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,0.75,0.33,1.0,1.33,1.33,0.33,0.0,0.0,1.0,2.0,3.0
DEN,Bol Bol,F,19,25.0,54.0,0.463,2.0,12.0,0.1667,11.0,16.0,0.6875,0.48,0.42,2.16,2.58,0.37,0.05,0.84,0.95,0.53,3.32,-6.0
